Wavelength (nm),HL1,HL2,HL3
476,0.306172431,0.963984251,0.210588127
477,0.306731492,0.963469505,0.208960325
478,0.305534631,0.963155091,0.207786992
479,0.30653742,0.962714553,0.207295492
480,0.307435751,0.961983323,0.205851585
481,0.3080239,0.9610973,0.204108179
482,0.303889632,0.960523665,0.203060076
483,0.302063286,0.959412932,0.201402277
484,0.301237613,0.958752215,0.200739831
485,0.300720871,0.958773375,0.200192198
486,0.299741328,0.957371891,0.198049948
487,0.29877615,0.957329631,0.197111547
488,0.299036443,0.95713979,0.196222127
489,0.298395813,0.95662427,0.19490321
490,0.297020346,0.956957161,0.194331348
491,0.295601755,0.956634045,0.192818835
492,0.296042115,0.957162142,0.192116886
493,0.294698596,0.956889749,0.190792173
494,0.293079495,0.957024753,0.190091163
495,0.292504549,0.956824303,0.188470572
496,0.293237299,0.956969142,0.187794119
497,0.293198466,0.95704025,0.186660826
498,0.292028576,0.958218157,0.185610488
499,0.291924387,0.95710516,0.18461059
500,0.292691141,0.956997812,0.183589295
501,0.291667819,0.957247555,0.18246603
502,0.292185903,0.957625866,0.181737721
503,0.291402102,0.957012892,0.18053183
504,0.289575368,0.956129789,0.179679692
505,0.290091485,0.956854999,0.178563401
506,0.290563047,0.95601666,0.177534655
507,0.290703982,0.956419885,0.176913962
508,0.289067745,0.954656243,0.175532699
509,0.287950426,0.954072952,0.17510964
510,0.287354291,0.953672826,0.174175382
511,0.287348509,0.952805817,0.173044831
512,0.288637996,0.951427937,0.172167465
513,0.289255559,0.949857891,0.170713171
514,0.290289968,0.948971868,0.170225203
515,0.291138023,0.947796643,0.16972962
516,0.29082796,0.946305811,0.168194458
517,0.290625691,0.944596529,0.167221531
518,0.287844837,0.943069756,0.166918844
519,0.286456466,0.940424085,0.165948629
520,0.285528183,0.937938333,0.164983437
521,0.283957601,0.935166538,0.164595887
522,0.28441599,0.932228088,0.163397655
523,0.285002202,0.929200351,0.163088232
524,0.28669703,0.926276028,0.16209133
525,0.28795439,0.922699392,0.161962494
526,0.28927809,0.920164883,0.160583705
527,0.288931251,0.916664183,0.160069555
528,0.289742917,0.912235141,0.159484729
529,0.291742325,0.908100247,0.158961758
530,0.293115228,0.903807163,0.158351883
531,0.292878658,0.899804711,0.158506274
532,0.291610539,0.895146072,0.157080144
533,0.29173255,0.890212774,0.156471461
534,0.291398257,0.885921955,0.155863136
535,0.291154623,0.88156271,0.155436471
536,0.292383283,0.876195729,0.154660702
537,0.293289274,0.870526075,0.154011622
538,0.295594871,0.865500271,0.153897166
539,0.297640145,0.860086918,0.152972534
540,0.300386846,0.853704274,0.151781887
541,0.302514136,0.848415434,0.151750967
542,0.304561555,0.842971921,0.150760382
543,0.305931985,0.837395191,0.15079248
544,0.308161557,0.832312286,0.149364799
545,0.308628529,0.826923251,0.149089873
546,0.309276253,0.821230769,0.147975102
547,0.310993135,0.816021681,0.147930995
548,0.312929153,0.810873807,0.147375539
549,0.314724356,0.805625439,0.146182969
550,0.317134082,0.800517261,0.146019757
551,0.320908278,0.795352995,0.145168036
552,0.323835671,0.789959073,0.144711778
553,0.32571578,0.784863234,0.143944964
554,0.327364713,0.780231059,0.143285811
555,0.329675913,0.775499821,0.142530739
556,0.33197096,0.770606041,0.142095059
557,0.333375394,0.765390158,0.141429022
558,0.334831923,0.761259437,0.14083615
559,0.33570227,0.757205546,0.140227944
560,0.338827938,0.752113164,0.139314562
561,0.341300607,0.747452498,0.138895035
562,0.342450231,0.743136108,0.138389215
563,0.343183994,0.738428414,0.137785748
564,0.346014082,0.734489143,0.13729845
565,0.348368943,0.730244041,0.136629611
566,0.350898802,0.727208674,0.136515632
567,0.354495585,0.723380327,0.136098981
568,0.356036782,0.718854845,0.135017321
569,0.365150303,0.711381257,0.133528426
570,0.368766308,0.707443714,0.132971391
571,0.371029198,0.70357126,0.132369578
572,0.374002338,0.70055896,0.131993845
573,0.376244843,0.697058499,0.131986514
574,0.378299266,0.693378747,0.131036207
575,0.380275935,0.689954698,0.13060309
576,0.382924348,0.687092841,0.129807323
