La HYDROXY COMPLEX,,,,,,,,,,,,
Wavelength (nm),LaHL1,LaHL2,LaHL3,NdHL1,NdHL2,NdHHL3,DyHL1,DyHL2,DyHL3,HL1,HL2,HL3
352,0.983967722,1.506580114,2.163670301,0.142350465,0.762115181,0.225445345,1.620065928,2.26629138,2.935786009,0.464760274,0.606486619,0.102239065
351,1.003677249,1.505108118,2.143345356,0.150838301,0.778963208,0.23722671,1.62913084,2.30064249,2.932726622,0.461625695,0.607147634,0.102582425
350,1.0219841,1.505705118,2.18874526,0.156191036,0.780080199,0.229774281,1.643265247,2.348350048,3.051730156,0.459591687,0.60810107,0.103019968
349,1.034006,1.500390887,2.190236092,0.162543818,0.777317345,0.232478142,1.671579242,2.395545483,2.927194118,0.456579298,0.609067023,0.103233986
348,1.127078891,1.912529707,2.309411764,0.204645768,0.827354133,0.25459668,1.76598227,2.621563911,3.359868288,0.453721732,0.609480441,0.103549779
347,1.141496778,1.910396099,2.311362982,0.212983504,0.835622728,0.255535603,1.782491565,2.645719051,3.356292725,0.451308042,0.610655427,0.103672318
346,1.16767168,1.914391756,2.333466291,0.218801886,0.84308368,0.258182406,1.809768558,2.711474419,3.332921743,0.448516399,0.612068474,0.103458583
345,1.196779728,1.912866592,2.353004456,0.230621398,0.852727473,0.260426164,1.836570024,2.799032927,3.318300724,0.44657141,0.612357676,0.104192525
344,1.228959918,1.918881655,2.363328218,0.238842204,0.860680938,0.265509218,1.860991955,2.846070528,3.336843491,0.443659872,0.613020241,0.104407147
343,1.251662254,1.922653794,2.374620438,0.248335019,0.87120527,0.265480012,1.887657046,2.906637669,3.341512442,0.441938222,0.613629699,0.104627512
342,1.284171939,1.920357823,2.406045198,0.259995341,0.880036473,0.270473898,1.911154747,2.986460209,3.329969883,0.439391851,0.613838911,0.104470685
341,1.312233448,1.924648046,2.431161642,0.27240476,0.889174283,0.272207916,1.94559741,3.066396952,3.335737944,0.438216209,0.615218639,0.105270863
340,1.342793584,1.930949807,2.451470613,0.283477962,0.900412142,0.276608884,1.977864385,3.103667259,3.345208168,0.435400546,0.614583671,0.105652183
339,1.373273969,1.938653946,2.463208675,0.295819879,0.909287691,0.27943936,2.012248039,3.213179111,3.329982996,0.433658719,0.615243077,0.105774067
338,1.415838242,1.940676451,2.497868538,0.308851928,0.920183003,0.283656895,2.040425062,3.282053709,3.371211529,0.432500422,0.615593612,0.106164686
337,1.449675202,1.939258933,2.519901752,0.321738154,0.932518423,0.28858608,2.093348026,3.381140471,3.341286898,0.430927157,0.616128981,0.106293321
336,1.494620085,1.940449119,2.556806326,0.339428753,0.9415434,0.29336068,2.147625923,3.516384125,3.367618322,0.430220723,0.61695534,0.106842637
335,1.532475591,1.946485519,2.583286762,0.356227607,0.955775201,0.298609167,2.201097727,3.732990503,3.377321482,0.429322839,0.617268622,0.107052743
334,1.576184869,1.948611498,2.604302168,0.375714421,0.970809937,0.301470071,2.259498119,3.786484241,3.357810974,0.42848289,0.617601872,0.10767366
333,1.624686003,1.963698745,2.665610552,0.393411785,0.980214834,0.307709783,2.328071356,4.015423775,3.36774087,0.428378612,0.618504405,0.108072646
332,1.680686593,1.969172478,2.67689395,0.410752088,0.9975124,0.312791139,2.4043262,4.363996506,3.38335681,0.428069651,0.619356036,0.108598582
331,1.747525573,1.977913618,2.714998245,0.433288932,1.008041859,0.317676812,2.47215724,4.479765415,3.383699894,0.427048266,0.620022476,0.108848549
330,1.797831893,1.977486014,2.750609875,0.45683074,1.026821613,0.324517548,2.598641396,5.274590969,3.383374691,0.425392985,0.620577812,0.108892195
329,1.870220542,1.986801624,2.813094139,0.483651549,1.041774392,0.331753045,2.680603266,5.746097088,3.423969984,0.423716486,0.621021032,0.109641343
328,1.938467383,1.989247203,2.862720728,0.51180774,1.065745234,0.339996576,2.82136941,10,3.410911322,0.422198027,0.621786833,0.109617055
327,2.011945009,2.003921747,2.900912523,0.542776406,1.083558083,0.348166883,2.964972496,10,3.43810153,0.419460774,0.62255007,0.110171892
326,2.086232662,2.009252548,2.966398478,0.578519404,1.113146424,0.356027752,3.110644102,10,3.431821823,0.418250471,0.623727739,0.110604897
325,2.156601429,2.021711588,3.035016537,0.614929259,1.138564348,0.365850896,3.242422581,10,3.502851725,0.416463018,0.624140143,0.110805109
324,2.217441559,2.022371292,3.0905478,0.654705763,1.173156738,0.377644599,3.369536161,10,3.469497681,0.414120406,0.625218153,0.111824155
323,2.27977252,2.039949417,3.180517197,0.699021876,1.201736689,0.389183074,3.503320217,10,3.51256752,0.411952674,0.625758767,0.111718819
322,2.323805094,2.053249836,3.240513563,0.744536638,1.244668961,0.401066333,3.61670804,10,3.483590603,0.409650445,0.625666142,0.111944862
321,2.382808447,2.070850611,3.309495687,0.795798123,1.284685016,0.413725168,3.74840188,10,3.491364241,0.407717049,0.626285672,0.112680949
320,2.414215088,2.068890572,3.368153095,0.84944886,1.335981727,0.427419961,3.820396423,10,3.545321226,0.406590134,0.626464009,0.11292439
319,2.461047173,2.097158909,3.372410297,0.907907426,1.390260577,0.443269581,3.827024221,10,3.575066328,0.404204369,0.626543701,0.113265149
318,2.483952045,2.109347343,3.467640162,0.971771479,1.447397232,0.460520804,3.968939304,10,3.573244095,0.402101219,0.626576662,0.11377687
317,2.493463039,2.134016514,3.558914661,1.036990047,1.516286969,0.476275802,3.927336216,10,3.583440065,0.399947435,0.627146244,0.1145401
